epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6905,3.30655,5.41834,2.39899,0,0,0,0,2.00653,5.03816,2.18666,0.0004,0.0004,0.0004
2,28.2064,1.98099,4.01624,1.67501,0,0,0,0,2.13661,4.53011,2.24921,0.000845792,0.000845792,0.000845792
3,42.2379,1.98183,3.54413,1.4716,0.00333,1,0.01252,0.00597,1.55341,3.91424,1.59714,0.00128713,0.00128713,0.00128713
4,55.72,1.98751,3.19624,1.52518,0.00333,1,0.0107,0.00523,2.06692,3.79147,2.14279,0.00172401,0.00172401,0.00172401
5,69.145,1.87203,3.18379,1.53444,0.00333,1,0.00793,0.0039,1.51842,3.63509,1.64855,0.00215644,0.00215644,0.00215644
6,83.9601,1.77463,3.08335,1.58669,0.00333,1,0.0065,0.00283,1.86447,3.88596,2.01476,0.00258441,0.00258441,0.00258441
7,97.5609,1.81742,2.98075,1.61083,0.00333,1,0.5253,0.15162,2.6372,3.86348,3.032,0.00300793,0.00300793,0.00300793
8,110.664,2.09906,2.84543,1.89204,0.00333,1,0.08575,0.01081,2.04538,4.14414,2.31455,0.00342699,0.00342699,0.00342699
9,123.958,2.04999,2.78407,1.69818,0.00333,1,0.08575,0.01081,2.04538,4.14414,2.31455,0.0038416,0.0038416,0.0038416
10,137.655,1.8018,2.67887,1.64049,0.03814,0.5,0.09413,0.03303,2.06875,3.93791,2.28992,0.00425175,0.00425175,0.00425175
11,152.016,1.81995,2.70328,1.66556,0.03814,0.5,0.09413,0.03303,2.06875,3.93791,2.28992,0.00465745,0.00465745,0.00465745
12,165.547,1.88091,2.58566,1.59393,0.00333,1,0.13267,0.06669,1.92964,2.88484,2.55513,0.00472775,0.00472775,0.00472775
13,179.114,1.71604,2.6984,1.54593,0.00333,1,0.13267,0.06669,1.92964,2.88484,2.55513,0.004703,0.004703,0.004703
14,192.619,1.97657,2.72731,1.60754,0.00177,0.5,0.00353,0.00035,4.4987,4.15896,3.45161,0.00467825,0.00467825,0.00467825
15,207.734,1.91904,2.73189,1.69304,0.00167,0.5,0.00197,0.0002,4.8866,7.56051,3.21015,0.0046535,0.0046535,0.0046535
16,221.264,1.77431,2.30445,1.53525,0.00167,0.5,0.00197,0.0002,4.8866,7.56051,3.21015,0.00462875,0.00462875,0.00462875
17,234.578,1.82595,2.4221,1.54394,0.00167,0.5,0.00126,0.00025,4.32263,837.305,4.31135,0.004604,0.004604,0.004604
18,247.741,1.62863,2.25379,1.5195,0.00167,0.5,0.00126,0.00025,4.32263,837.305,4.31135,0.00457925,0.00457925,0.00457925
19,263.487,1.74069,2.42869,1.54392,0.00167,0.5,0.00126,0.00025,4.24419,194.587,3.13289,0.0045545,0.0045545,0.0045545
20,277.211,1.70499,2.1268,1.44072,0.00167,0.5,0.00126,0.00025,4.24419,194.587,3.13289,0.00452975,0.00452975,0.00452975
21,290.704,1.52079,2.3207,1.34273,0.00167,0.5,0.00126,0.00025,4.10756,48.6165,3.31094,0.004505,0.004505,0.004505
22,304.547,1.70067,2.24347,1.46325,0.00167,0.5,0.00126,0.00025,4.56429,476.544,4.57,0.00448025,0.00448025,0.00448025
23,318.182,1.78397,2.08495,1.55902,0.00167,0.5,0.00126,0.00025,4.56429,476.544,4.57,0.0044555,0.0044555,0.0044555
24,332.287,1.67967,2.05058,1.46761,0.00167,0.5,0.00126,0.00025,4.33104,28.7419,3.56834,0.00443075,0.00443075,0.00443075
25,345.399,1.48658,1.91718,1.34797,0.00167,0.5,0.00126,0.00025,4.33104,28.7419,3.56834,0.004406,0.004406,0.004406
26,358.601,1.61898,2.1104,1.50059,0.00167,0.5,0.00126,0.00025,4.73184,29.6814,4.40782,0.00438125,0.00438125,0.00438125
27,371.959,1.70301,2.20362,1.51717,0.00167,0.5,0.00126,0.00025,4.73184,29.6814,4.40782,0.0043565,0.0043565,0.0043565
28,386.779,1.53428,2.10213,1.44331,0.0142,0.5,0.00896,0.00627,2.76522,31.385,2.57588,0.00433175,0.00433175,0.00433175
29,400.215,1.58418,1.92665,1.43639,0.0142,0.5,0.00896,0.00627,2.76522,31.385,2.57588,0.004307,0.004307,0.004307
30,413.168,1.47484,1.80673,1.41289,0.00333,1,0.01026,0.00479,2.05964,7.74114,1.95018,0.00428225,0.00428225,0.00428225
31,426.238,1.58512,1.86393,1.48596,0.00167,0.5,0.00166,0.0005,3.81574,5.94905,2.57446,0.0042575,0.0042575,0.0042575
32,439.745,1.47621,1.80437,1.42536,0.00167,0.5,0.00166,0.0005,3.81574,5.94905,2.57446,0.00423275,0.00423275,0.00423275
33,454.983,1.4189,1.83321,1.35573,0.00167,0.5,0.00213,0.00043,3.95991,4.05209,2.86308,0.004208,0.004208,0.004208
34,468.167,1.4291,1.76438,1.31899,0.00167,0.5,0.00213,0.00043,3.95991,4.05209,2.86308,0.00418325,0.00418325,0.00418325
35,481.4,1.43697,1.69988,1.33856,0.47394,1,0.4975,0.16853,1.78179,2.28166,1.52207,0.0041585,0.0041585,0.0041585
36,495.171,1.49975,1.74024,1.38253,0.47394,1,0.4975,0.16853,1.78179,2.28166,1.52207,0.00413375,0.00413375,0.00413375
37,509.922,1.39994,1.61803,1.26322,0.4243,0.77289,0.4975,0.24842,1.90115,2.15674,1.41241,0.004109,0.004109,0.004109
38,523.77,1.4221,1.64409,1.31331,0.90999,0.5,0.62,0.39506,1.54521,1.87818,1.48473,0.00408425,0.00408425,0.00408425
39,537.077,1.53837,1.71304,1.42533,0.90999,0.5,0.62,0.39506,1.54521,1.87818,1.48473,0.0040595,0.0040595,0.0040595
40,550.775,1.45714,1.61757,1.31696,0.46048,0.5,0.33841,0.2252,1.40527,2.24464,1.42394,0.00403475,0.00403475,0.00403475
41,565.545,1.37201,1.62008,1.32594,0.46048,0.5,0.33841,0.2252,1.40527,2.24464,1.42394,0.00401,0.00401,0.00401
42,579.32,1.29578,1.60068,1.29219,0.43867,0.5,0.62,0.3003,1.64296,2.14061,1.54669,0.00398525,0.00398525,0.00398525
43,592.745,1.40009,1.57565,1.31867,0.43867,0.5,0.62,0.3003,1.64296,2.14061,1.54669,0.0039605,0.0039605,0.0039605
44,1546.06,1.4079,1.67801,1.37023,0.72367,0.5,0.745,0.38495,1.76141,1.87473,1.50148,0.00393575,0.00393575,0.00393575
45,1560.41,1.41356,1.55798,1.28927,0.72367,0.5,0.745,0.38495,1.76141,1.87473,1.50148,0.003911,0.003911,0.003911
46,1573.49,1.42803,1.47724,1.31031,0.61932,1,0.82833,0.51357,1.51267,1.47479,1.14485,0.00388625,0.00388625,0.00388625
47,1586.36,1.39555,1.58752,1.32865,0.64418,1,0.82833,0.44732,1.39266,1.42736,1.09809,0.0038615,0.0038615,0.0038615
48,2537.42,1.40478,1.54919,1.30952,0.64418,1,0.82833,0.44732,1.39266,1.42736,1.09809,0.00383675,0.00383675,0.00383675
49,2550.03,1.32548,1.45792,1.28492,0.65068,1,0.82833,0.49742,1.12131,1.5202,1.03573,0.003812,0.003812,0.003812
50,2563.99,1.33531,1.34743,1.24093,0.65068,1,0.82833,0.49742,1.12131,1.5202,1.03573,0.00378725,0.00378725,0.00378725
51,2577.16,1.35678,1.45639,1.24495,1,0.94111,0.995,0.4975,1.3423,1.78368,1.09741,0.0037625,0.0037625,0.0037625
52,2589.88,1.32189,1.30505,1.23088,1,0.94111,0.995,0.4975,1.3423,1.78368,1.09741,0.00373775,0.00373775,0.00373775
53,3582.84,1.46418,1.5853,1.28642,1,0.97069,0.995,0.39327,1.70797,1.87245,1.26092,0.003713,0.003713,0.003713
54,3596.8,1.50219,1.39791,1.31257,0.64878,1,0.66333,0.36958,1.68479,1.5656,1.24197,0.00368825,0.00368825,0.00368825
55,3610.07,1.34708,1.24423,1.24403,0.64878,1,0.66333,0.36958,1.68479,1.5656,1.24197,0.0036635,0.0036635,0.0036635
56,4557.14,1.34774,1.34124,1.22726,0.91197,1,0.995,0.43965,1.42243,1.43386,1.1622,0.00363875,0.00363875,0.00363875
57,4570.44,1.22682,1.23817,1.15496,0.91197,1,0.995,0.43965,1.42243,1.43386,1.1622,0.003614,0.003614,0.003614
58,4584.33,1.29353,1.22857,1.21245,0.66085,1,0.82833,0.44807,1.1784,1.32334,1.08184,0.00358925,0.00358925,0.00358925
59,4597.34,1.31958,1.24522,1.19952,0.66085,1,0.82833,0.44807,1.1784,1.32334,1.08184,0.0035645,0.0035645,0.0035645
60,4610.91,1.32787,1.22738,1.20243,0.49544,0.98631,0.745,0.3981,1.10219,1.56215,1.06177,0.00353975,0.00353975,0.00353975
61,4624.12,1.23607,1.25573,1.18322,0.49544,0.98631,0.745,0.3981,1.10219,1.56215,1.06177,0.003515,0.003515,0.003515
62,4637.52,1.32298,1.20965,1.21508,0.8253,0.5,0.63786,0.32338,1.44649,1.96767,1.23399,0.00349025,0.00349025,0.00349025
63,4651.66,1.19919,1.17641,1.16719,0.89266,0.5,0.745,0.447,1.45626,1.48723,1.10546,0.0034655,0.0034655,0.0034655
64,4664.71,1.31965,1.14866,1.20693,0.89266,0.5,0.745,0.447,1.45626,1.48723,1.10546,0.00344075,0.00344075,0.00344075
65,4678.19,1.21173,1.18285,1.18847,0.66617,0.9985,0.82833,0.53113,1.60617,1.1857,1.00731,0.003416,0.003416,0.003416
66,4691.03,1.25795,1.11086,1.20719,0.66617,0.9985,0.82833,0.53113,1.60617,1.1857,1.00731,0.00339125,0.00339125,0.00339125
67,5046.16,1.35302,1.21362,1.19316,1,0.88303,0.995,0.64784,1.70887,1.25622,1.1516,0.0033665,0.0033665,0.0033665
68,5060.08,1.30022,1.1787,1.21585,1,0.88303,0.995,0.64784,1.70887,1.25622,1.1516,0.00334175,0.00334175,0.00334175
69,5072.6,1.20677,1.09407,1.1801,0.56426,1,0.82833,0.53155,1.54811,1.24948,1.08473,0.003317,0.003317,0.003317
70,5085.2,1.19165,1.18509,1.15374,1,0.9522,0.995,0.72216,1.43549,1.10711,0.93449,0.00329225,0.00329225,0.00329225
71,5646.66,1.26458,1.14337,1.15002,1,0.9522,0.995,0.72216,1.43549,1.10711,0.93449,0.0032675,0.0032675,0.0032675
72,5661.27,1.28363,1.10416,1.16488,1,0.93808,0.995,0.62242,1.78315,1.72186,1.04051,0.00324275,0.00324275,0.00324275
73,5675.62,1.40824,1.165,1.27722,1,0.93808,0.995,0.62242,1.78315,1.72186,1.04051,0.003218,0.003218,0.003218
74,5689.95,1.28353,1.17469,1.229,1,0.88859,0.995,0.34987,1.73955,1.96606,1.08718,0.00319325,0.00319325,0.00319325
75,5703.27,1.31542,1.06431,1.15043,1,0.88859,0.995,0.34987,1.73955,1.96606,1.08718,0.0031685,0.0031685,0.0031685
76,5716.46,1.14743,1.01375,1.10769,0.83393,1,0.995,0.54809,1.6292,1.39106,1.10845,0.00314375,0.00314375,0.00314375
77,5729.66,1.25901,1.12195,1.19385,0.83393,1,0.995,0.54809,1.6292,1.39106,1.10845,0.003119,0.003119,0.003119
78,5743.29,1.3292,1.01169,1.17629,0.927,1,0.995,0.64715,1.60211,0.99554,1.12654,0.00309425,0.00309425,0.00309425
79,5756.82,1.30744,1.24862,1.25879,0.96369,1,0.995,0.597,1.64493,1.01937,1.14089,0.0030695,0.0030695,0.0030695
80,5770.63,1.11795,1.01521,1.12261,0.96369,1,0.995,0.597,1.64493,1.01937,1.14089,0.00304475,0.00304475,0.00304475
81,5784.33,1.23878,1.06475,1.18135,0.96936,1,0.995,0.55256,1.74585,0.98347,1.08354,0.00302,0.00302,0.00302
